Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
"IKMY Co., Limited",AFF,AFF,,CHN_47_07_18,,AFF,,635.96 ,USD,,635.96 ,2018/7/25,635.96 ,0.00 ,,2018/8/30,, 30 ,2018/8/24, reveived ,received,May
"Whatech Mobile Co.,Limited(Mobisummer)",AFF,AFF,,CHN_60_07_18,,AFF,,8619.64 ,USD,,8619.64 ,2018/7/25,8617.73 ,1.91 ,,2018/8/8,, 30 ,2018/8/24, reveived ,received,May
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_01_11_16CM,,Bonnie,,(11018.78),USD,,(11018.78),2018/7/25,,(11018.78),,2018/7/25,, 30 ,2018/8/24, reveived ,received,Cancelled invoice of April
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_03_11_16CM,,Bonnie,,(32289.72),USD,,(32289.72),2018/7/25,,(32289.72),,2018/7/25,, 30 ,2018/8/24, reveived ,received,Cancelled invoice of May
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_04_11_16CM,,Bonnie,,(27919.93),USD,,(27919.93),2018/7/25,,(27919.93),,2018/7/25,, 30 ,2018/8/24, reveived ,received,Cancelled invoice of May
HONGKONG XIAOYAO GAME ENTERTAIMENT(有爱互动),China Sales,China Sales North,,CHN_88_12_16CM,,Bonnie,,(5564.57),USD,,(5564.57),2018/7/25,,(5564.57),,2018/7/25,, 30 ,2018/8/24, reveived ,received,Cancelled invoice of June
SOL NETWORKS LIMITED,UK,UK,,UK_21_07_18,,UK,,3532.00 ,USD,,3532.00 ,2018/7/25,3532.00 ,0.00 ,,2018/7/30,, 30 ,2018/8/24, reveived ,received,June
ADFIT PLT,APAC,SGP,,SGP_12_07_18,,Amanda,,1427.00 ,USD,,1427.00 ,2018/7/27,1427.00 ,0.00 ,,2018/7/30,, 30 ,2018/8/26, reveived ,received,Prepayment
iHandy Network Limited,China Sales,China Sales North,,CHN_63_07_18,,Bonnie,,112.20 ,USD,,112.20 ,2018/7/27,112.20 ,0.00 ,,2018/8/15,, 30 ,2018/8/26, reveived ,received,June
"Hongkong Lehui Network Technology Co., Limited(Clinkad）",AFF,AFF,,CHN_64_07_18,,AFF,,4999.55 ,USD,,4999.55 ,2018/7/27,4966.25 ,33.30 ,,2018/9/10,, 30 ,2018/8/26, reveived ,received,May
宁波豪雅进出口集团有限公司,China Sales,China Sales EC,,CHN_67_07_18,,Xinxin,,1000.00 ,USD,,1000.00 ,2018/7/27,991.70 ,8.30 ,,2018/8/4,, 30 ,2018/8/26, reveived ,received,Prepayment July
